epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,4218.98,1.58749,2.40904,1.03869,1.0153,0,0.81981,0.69435,0.74985,0.61684,0.735,0.63593,0.67349,0.42607,1.88349,1.8556,1.04222,0.94749,0,0.00604,0.00604,0.00604
42,4399.77,1.56966,2.3206,1.01871,1.00448,0,0.81057,0.69738,0.75161,0.61512,0.73358,0.6385,0.67426,0.42974,1.89296,1.83251,1.03545,0.95316,0,0.005941,0.005941,0.005941
43,4474.26,1.57868,2.37765,1.02046,1.00272,0,0.83172,0.70896,0.75619,0.61901,0.73206,0.63254,0.66903,0.41564,1.86515,1.87637,1.04448,0.95174,0,0.005842,0.005842,0.005842
44,4656.45,1.55468,2.32085,0.99437,0.99403,0,0.84434,0.70335,0.75693,0.62613,0.77125,0.63682,0.68152,0.43397,1.87129,1.81101,1.01065,0.94956,0,0.005743,0.005743,0.005743
45,4748.84,1.60104,2.30778,1.01442,1.00203,0,0.80074,0.69384,0.73946,0.60742,0.71124,0.648,0.66728,0.43025,1.89285,1.86634,1.10586,0.94941,0,0.005644,0.005644,0.005644
46,4835.95,1.55821,2.28333,0.98665,0.99645,0,0.80232,0.70791,0.75396,0.62379,0.72423,0.64628,0.67634,0.43928,1.83768,1.82275,1.00333,0.94353,0,0.005545,0.005545,0.005545
47,4990.92,1.54015,2.25559,0.97995,0.99412,0,0.81803,0.71508,0.7595,0.62825,0.75314,0.65138,0.6899,0.45638,1.84766,1.75998,0.9862,0.93871,0,0.005446,0.005446,0.005446
48,5082.81,1.53403,2.30502,0.96723,0.99117,0,0.84283,0.71986,0.76176,0.62899,0.7694,0.64369,0.68317,0.4319,1.86729,1.7961,0.99654,0.93519,0,0.005347,0.005347,0.005347
49,5238.22,1.54244,2.31594,0.99442,1.00107,0,0.81077,0.71572,0.75151,0.61831,0.73999,0.6479,0.66482,0.41214,1.89852,1.76736,0.9945,0.93492,0,0.005248,0.005248,0.005248
50,5326.95,1.56813,2.26458,0.98014,0.9916,0,0.83094,0.72336,0.76047,0.62979,0.74523,0.66816,0.69704,0.4544,1.83802,1.74363,0.96754,0.93675,0,0.005149,0.005149,0.005149
51,5480.73,1.52373,2.24635,0.9405,0.98039,0,0.83802,0.71734,0.75863,0.62978,0.75466,0.65113,0.68677,0.44357,1.85638,1.79525,1.02242,0.93656,0,0.00505,0.00505,0.00505
52,5583.13,1.52447,2.21438,0.94973,0.98545,0,0.84775,0.72506,0.76923,0.63858,0.77277,0.66414,0.70341,0.45254,1.83818,1.71881,0.9565,0.93192,0,0.004951,0.004951,0.004951
